
% time 5.0000
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
         4   21.2766    0.1556    0.0000    0.0000   -0.0181
         4   21.0773    0.1318    0.0000    0.0000   -0.0186
         4   20.8780    0.1080    0.0000    0.0000   -0.0191
         4   20.6787    0.0842    0.0000    0.0000   -0.0196
         4   20.4794    0.0603    0.0000    0.0000   -0.0200
         4   20.2801    0.0363    0.0000    0.0000   -0.0205
         4   20.0808    0.0123    0.0000    0.0000   -0.0210
         4   19.8816   -0.0118    0.0000    0.0000   -0.0215
         4   19.6823   -0.0359    0.0000    0.0000   -0.0220
         4   19.4831   -0.0602    0.0000    0.0000   -0.0224
         4   19.2838   -0.0845    0.0000    0.0000   -0.0229
         4   19.0846   -0.1089    0.0000    0.0000   -0.0234
         4   18.8854   -0.1335    0.0000    0.0000   -0.0239
         4   18.6862   -0.1582    0.0000    0.0000   -0.0243
         4   18.4870   -0.1830    0.0000    0.0000   -0.0248
         4   18.2879   -0.2080    0.0000    0.0000   -0.0253
         4   18.0887   -0.2331    0.0000    0.0000   -0.0258
         4   17.8896   -0.2583    0.0000    0.0000   -0.0263
         4   17.6905   -0.2837    0.0000    0.0000   -0.0267
         4   17.4914   -0.3093    0.0000    0.0000   -0.0272
         4   17.2923   -0.3350    0.0000    0.0000   -0.0277
         4   17.0933   -0.3609    0.0000    0.0000   -0.0282
         4   16.8943   -0.3870    0.0000    0.0000   -0.0286
         4   16.6953   -0.4132    0.0000    0.0000   -0.0291
         4   16.4963   -0.4396    0.0000    0.0000   -0.0296
         4   16.2974   -0.4661    0.0000    0.0000   -0.0301
         4   16.0984   -0.4928    0.0000    0.0000   -0.0305
         4   15.8995   -0.5197    0.0000    0.0000   -0.0310
         4   15.7006   -0.5467    0.0000    0.0000   -0.0315
         4   15.5017   -0.5738    0.0000    0.0000   -0.0320
         4   15.3029   -0.6012    0.0000    0.0000   -0.0325
         4   15.1041   -0.6286    0.0000    0.0000   -0.0329
         4   14.9053   -0.6563    0.0000    0.0000   -0.0334
         4   14.7065   -0.6841    0.0000    0.0000   -0.0339
         4   14.5077   -0.7120    0.0000    0.0000   -0.0344
         4   14.3090   -0.7402    0.0000    0.0000   -0.0348
         4   14.1103   -0.7685    0.0000    0.0000   -0.0353
         4   13.9116   -0.7971    0.0000    0.0000   -0.0358
         4   13.7129   -0.8258    0.0000    0.0000   -0.0363
         4   13.5143   -0.8547    0.0000    0.0000   -0.0368
         4   13.3157   -0.8838    0.0000    0.0000   -0.0372
         4   13.1171   -0.9130    0.0000    0.0000   -0.0377
         4   12.9186   -0.9424    0.0000    0.0000   -0.0382
         4   12.7201   -0.9720    0.0000    0.0000   -0.0387
         4   12.5216   -1.0018    0.0000    0.0000   -0.0391
         4   12.3231   -1.0317    0.0000    0.0000   -0.0396
         4   12.1247   -1.0619    0.0000    0.0000   -0.0401
         4   11.9262   -1.0922    0.0000    0.0000   -0.0406
         4   11.7279   -1.1227    0.0000    0.0000   -0.0411
         4   11.5295   -1.1534    0.0000    0.0000   -0.0415
         4   11.3312   -1.1843    0.0000    0.0000   -0.0420
         4   11.1329   -1.2155    0.0000    0.0000   -0.0425
         4   10.9346   -1.2468    0.0000    0.0000   -0.0430
         4   10.7364   -1.2783    0.0000    0.0000   -0.0435
         4   10.5382   -1.3101    0.0000    0.0000   -0.0439
         4   10.3401   -1.3421    0.0000    0.0000   -0.0444
         4   10.1419   -1.3743    0.0000    0.0000   -0.0449
         4    9.9439   -1.4067    0.0000    0.0000   -0.0454
         4    9.7458   -1.4394    0.0000    0.0000   -0.0458
         4    9.5478   -1.4724    0.0000    0.0000   -0.0463
         4    9.3499   -1.5055    0.0000    0.0000   -0.0468
         4    9.1520   -1.5390    0.0000    0.0000   -0.0473
         4    8.9541   -1.5727    0.0000    0.0000   -0.0478
         4    8.7563   -1.6066    0.0000    0.0000   -0.0482
         4    8.5585   -1.6407    0.0000    0.0000   -0.0487
         4    8.3607   -1.6751    0.0000    0.0000   -0.0492
         4    8.1630   -1.7097    0.0000    0.0000   -0.0497
         4    7.9654   -1.7446    0.0000    0.0000   -0.0502
         4    7.7677   -1.7797    0.0000    0.0000   -0.0506
         4    7.5701   -1.8150    0.0000    0.0000   -0.0511
         4    7.3726   -1.8505    0.0000    0.0000   -0.0516
         4    7.1751   -1.8862    0.0000    0.0000   -0.0521
         4    6.9776   -1.9222    0.0000    0.0000   -0.0526
         4    6.7802   -1.9583    0.0000    0.0000   -0.0530
         4    6.5828   -1.9946    0.0000    0.0000   -0.0535
         4    6.3854   -2.0312    0.0000    0.0000   -0.0540
         4    6.1881   -2.0679    0.0000    0.0000   -0.0545
         4    5.9908   -2.1049    0.0000    0.0000   -0.0550
         4    5.7935   -2.1420    0.0000    0.0000   -0.0554
         4    5.5963   -2.1793    0.0000    0.0000   -0.0559
         4    5.3991   -2.2168    0.0000    0.0000   -0.0564
         4    5.2020   -2.2545    0.0000    0.0000   -0.0569
         4    5.0048   -2.2922    0.0000    0.0000   -0.0574
         4    4.8077   -2.3301    0.0000    0.0000   -0.0578
         4    4.6106   -2.3681    0.0000    0.0000   -0.0583
         4    4.4136   -2.4062    0.0000    0.0000   -0.0588
         4    4.2165   -2.4443    0.0000    0.0000   -0.0593
         4    4.0194   -2.4825    0.0000    0.0000   -0.0598
         4    3.8224   -2.5207    0.0000    0.0000   -0.0602
         4    3.6254   -2.5589    0.0940   -0.1657    0.0000
%   fiber f1:0005
         5   26.2730  -14.2327    1.2849   -3.6898    3.8947
         5   26.2528  -14.1738   -1.2869    3.6630    0.0000
%   fiber f1:0006
         6    5.4522    9.0402    0.0000    0.0000    0.0000
         6    5.2788    9.0539    0.0000    0.0000    0.0000
         6    5.1055    9.0676    0.0000    0.0000    0.0000
         6    4.9321    9.0812    0.0000    0.0000    0.0000
%   fiber f1:0007
         7    4.7738   -6.6885    0.0000    0.0000    0.0043
         7    4.7235   -6.4946    0.0000    0.0000    0.0086
         7    4.6733   -6.3006    0.0000    0.0000    0.0129
         7    4.6230   -6.1067    0.0000    0.0000    0.0171
         7    4.5728   -5.9128    0.0000    0.0000    0.0214
         7    4.5226   -5.7188    0.0000    0.0000    0.0257
         7    4.4724   -5.5249    0.0000    0.0000    0.0300
         7    4.4222   -5.3309    0.0000    0.0000    0.0343
         7    4.3719   -5.1370    0.0000    0.0000    0.0386
         7    4.3217   -4.9430    0.0000    0.0000    0.0428
         7    4.2715   -4.7491    0.0000    0.0000    0.0471
         7    4.2213   -4.5551    0.0000    0.0000    0.0514
         7    4.1711   -4.3612    0.0000    0.0000    0.0557
         7    4.1209   -4.1672    0.0000    0.0000    0.0600
         7    4.0706   -3.9733    0.0000    0.0000    0.0643
         7    4.0204   -3.7793    0.0000    0.0000    0.0685
         7    3.9702   -3.5854    0.0000    0.0000    0.0728
         7    3.9199   -3.3914    0.0000    0.0000    0.0771
         7    3.8697   -3.1975    0.0000    0.0000    0.0814
         7    3.8195   -3.0035   -0.0158    0.0844    0.0000
%   fiber f1:0008
         8   21.2106  -10.8385    0.0000    0.0000    0.0031
         8   21.0275  -10.7602    0.0000    0.0000    0.0062
         8   20.8444  -10.6818    0.0000    0.0000    0.0094
         8   20.6614  -10.6034    0.0000    0.0000    0.0125
         8   20.4783  -10.5250    0.0000    0.0000    0.0156
         8   20.2952  -10.4466    0.0000    0.0000    0.0187
         8   20.1122  -10.3682    0.0000    0.0000    0.0218
         8   19.9291  -10.2898    0.0000    0.0000    0.0249
         8   19.7461  -10.2114    0.0000    0.0000    0.0281
         8   19.5631  -10.1329    0.0000    0.0000    0.0312
         8   19.3800  -10.0544    0.0000    0.0000    0.0343
         8   19.1970   -9.9759    0.0000    0.0000    0.0374
         8   19.0141   -9.8973    0.0000    0.0000    0.0405
         8   18.8311   -9.8187    0.0000    0.0000    0.0437
         8   18.6481   -9.7400    0.0000    0.0000    0.0468
         8   18.4652   -9.6613    0.0000    0.0000    0.0499
         8   18.2823   -9.5826    0.0000    0.0000    0.0530
         8   18.0994   -9.5038    0.0000    0.0000    0.0561
         8   17.9166   -9.4249    0.0000    0.0000    0.0593
         8   17.7337   -9.3460    0.0000    0.0000    0.0624
         8   17.5509   -9.2670    0.0000    0.0000    0.0655
         8   17.3682   -9.1879    0.0000    0.0000    0.0686
         8   17.1854   -9.1088    0.0000    0.0000    0.0717
         8   17.0028   -9.0295    0.0000    0.0000    0.0748
         8   16.8201   -8.9501    0.0000    0.0000    0.0780
         8   16.6375   -8.8707    0.0000    0.0000    0.0811
         8   16.4549   -8.7911    0.0000    0.0000    0.0842
         8   16.2724   -8.7115    0.0000    0.0000    0.0873
         8   16.0899   -8.6318    0.0000    0.0000    0.0904
         8   15.9075   -8.5520    0.0000    0.0000    0.0936
         8   15.7250   -8.4722    0.0000    0.0000    0.0967
         8   15.5427   -8.3922    0.0000    0.0000    0.0998
         8   15.3603   -8.3122    0.0000    0.0000    0.1029
         8   15.1780   -8.2321    0.0000    0.0000    0.1060
         8   14.9957   -8.1520    0.0000    0.0000    0.1091
         8   14.8134   -8.0717    0.0000    0.0000    0.1123
         8   14.6312   -7.9914    0.0000    0.0000    0.1154
         8   14.4491   -7.9109    0.0000    0.0000    0.1185
         8   14.2669   -7.8303    0.0000    0.0000    0.1216
         8   14.0849   -7.7497    0.0000    0.0000    0.1247
         8   13.9029   -7.6689    0.0000    0.0000    0.1279
         8   13.7209   -7.5880    0.0000    0.0000    0.1310
         8   13.5390   -7.5069    0.0000    0.0000    0.1341
         8   13.3571   -7.4258    0.0000    0.0000    0.1372
         8   13.1753   -7.3446    0.0000    0.0000    0.1403
         8   12.9935   -7.2632    0.0000    0.0000    0.1435
         8   12.8118   -7.1818    0.0000    0.0000    0.1466
         8   12.6301   -7.1002    0.0000    0.0000    0.1497
         8   12.4485   -7.0186    0.0000    0.0000    0.1528
         8   12.2669   -6.9368    0.0000    0.0000    0.1559
         8   12.0854   -6.8550    0.0000    0.0000    0.1591
         8   11.9039   -6.7730    0.0000    0.0000    0.1622
         8   11.7224   -6.6910    0.0000    0.0000    0.1653
         8   11.5410   -6.6088    0.0000    0.0000    0.1684
         8   11.3597   -6.5266    0.0000    0.0000    0.1715
         8   11.1784   -6.4442    0.0000    0.0000    0.1747
         8   10.9971   -6.3618    0.0000    0.0000    0.1778
         8   10.8159   -6.2793    0.0000    0.0000    0.1809
         8   10.6347   -6.1967    0.0000    0.0000    0.1840
         8   10.4535   -6.1140    0.0000    0.0000    0.1871
         8   10.2724   -6.0312    0.0000    0.0000    0.1903
         8   10.0913   -5.9484    0.0000    0.0000    0.1934
         8    9.9102   -5.8654    0.0000    0.0000    0.1965
         8    9.7292   -5.7824    0.0000    0.0000    0.1996
         8    9.5483   -5.6993    0.0000    0.0000    0.2027
         8    9.3673   -5.6161    0.0000    0.0000    0.2059
         8    9.1864   -5.5329    0.0000    0.0000    0.2090
         8    9.0055   -5.4496    0.0000    0.0000    0.2121
         8    8.8246   -5.3663    0.0000    0.0000    0.2152
         8    8.6438   -5.2829    0.0000    0.0000    0.2183
         8    8.4630   -5.1995    0.0000    0.0000    0.2215
         8    8.2822   -5.1160    0.0000    0.0000    0.2246
